bus,vm,va,vmin,vmax
124,1.015983640264688,1.6920786657409772,0.95,1.05
210,1.043008639138409,-12.815672860738188,0.95,1.05
306,1.0225310672791483,-23.585713205580973,0.95,1.05
215,1.046556210051283,4.212927560849589,0.95,1.05
207,0.9705593542135481,-21.153440074796908,0.95,1.05
209,1.0209321920692966,-10.743433042224323,0.95,1.05
201,1.05,-9.98389991662963,0.95,1.05
323,1.05,4.400938709177339,0.95,1.05
111,1.0323371789104805,-3.5370455938618326,0.95,1.05
112,1.0250450235123016,-1.9647440122393303,0.95,1.05
205,1.0333564601620877,-12.9288321146017,0.95,1.05
318,1.049525365806826,4.304882437422351,0.95,1.05
106,1.0306715068967878,-10.876189440162145,0.95,1.05
212,1.0186836142183748,-3.1954124136604865,0.95,1.05
310,1.0363298098865243,-20.383373816961583,0.95,1.05
308,0.9556811515933978,-28.1085050980045,0.95,1.05
121,1.05,11.111216735718054,0.95,1.05
114,1.0479256634763476,-2.0228567947661555,0.95,1.05
109,1.0301446869716684,-7.514603120087347,0.95,1.05
219,1.0410489031168584,4.590529059503373,0.95,1.05
223,1.05,8.65358352592432,0.95,1.05
314,1.05,-9.24217599865001,0.95,1.05
202,1.05,-9.999482564275292,0.95,1.05
324,1.0083129750298805,-5.3735970769151296,0.95,1.05
220,1.0440319717439588,6.749343560668228,0.95,1.05
110,1.0471850577530277,-9.173165223401698,0.95,1.05
309,1.0119764289017341,-18.18010280190742,0.95,1.05
117,1.0486862856392174,9.653379547152706,0.95,1.05
216,1.0490602044111834,4.263603529658087,0.95,1.05
115,1.0440163131995628,6.600382045935012,0.95,1.05
105,1.03533628007697,-9.061654490486019,0.95,1.05
206,1.027404095331671,-15.494167790046111,0.95,1.05
316,1.05,0.6457868563157158,0.95,1.05
101,1.05,-5.906567056717557,0.95,1.05
311,1.0222192670841708,-11.830747501753844,0.95,1.05
214,1.05,-3.8606115555194305,0.95,1.05
211,1.0292794885622258,-5.217365695339475,0.95,1.05
307,0.9618562481886563,-28.816335251869884,0.95,1.05
303,1.0049527756918626,-16.323777249569783,0.95,1.05
203,1.0202617304295163,-8.22665892460801,0.95,1.05
104,1.020866258830162,-8.981777733277706,0.95,1.05
221,1.05,8.426042345181099,0.95,1.05
320,1.044409918645371,2.625478975871796,0.95,1.05
103,1.0142717576614553,-6.7282297747370405,0.95,1.05
325,1.0491605015198866,4.958885128754155,0.95,1.05
313,1.0393058689583858,-6.731952346792477,0.95,1.05
217,1.0499334056069283,6.923267798136878,0.95,1.05
118,1.05,10.485165741186998,0.95,1.05
302,1.05,-19.630867142465405,0.95,1.05
120,1.0442373414352029,6.906114648119565,0.95,1.05
113,1.0449783754876567,2.3522056339372614e-30,0.95,1.05
224,1.0210149649982048,-0.3810766876123639,0.95,1.05
213,1.05,0.3410542885808478,0.95,1.05
204,1.0157634616304332,-12.616360641092026,0.95,1.05
122,1.05,17.05092165275576,0.95,1.05
304,1.0106637677956087,-21.08119642241755,0.95,1.05
107,1.05,-3.033717190873573,0.95,1.05
208,0.9644293764026041,-20.458180790050125,0.95,1.05
102,1.05,-5.922043549834235,0.95,1.05
319,1.0417707682475126,0.7036935416138153,0.95,1.05
321,1.05,5.45219734710728,0.95,1.05
119,1.0405036564238253,5.625535952182338,0.95,1.05
222,1.05,14.348173939623516,0.95,1.05
123,1.05,8.3301936652376,0.95,1.05
312,1.0080808981733378,-9.905856326885582,0.95,1.05
317,1.0493913987911643,3.685530647874235,0.95,1.05
116,1.0472622096282649,6.306364411544427,0.95,1.05
305,1.0302974200200843,-21.507982800515993,0.95,1.05
315,1.0471353282076459,0.9114323530651449,0.95,1.05
322,1.05,11.487053573031924,0.95,1.05
218,1.0493521602373879,7.1275295919524,0.95,1.05
301,1.05,-19.5174618562688,0.95,1.05
108,1.0168904338098201,-8.371772760976121,0.95,1.05
