bus,vm,va,vmin,vmax
2,1.0407532434903068,-4.022319436596194,0.94,1.06
11,1.0460097331678657,-13.090977401282462,0.94,1.06
7,1.0463471701283307,-11.1878963449905,0.94,1.06
9,1.0436993936327705,-12.997170141212022,0.94,1.06
10,1.0391369742808185,-13.232914193062367,0.94,1.06
8,1.06,-10.414860401398064,0.94,1.06
6,1.06,-12.689256854889233,0.94,1.06
4,1.0144610827734604,-8.664891310130349,0.94,1.06
3,1.01562545333634,-9.925917004165433,0.94,1.06
5,1.0163627950578658,-7.42844330456649,0.94,1.06
13,1.0399489874515844,-13.58259409588232,0.94,1.06
14,1.023888897359589,-14.274120004948696,0.94,1.06
12,1.0448205015997847,-13.532744815672382,0.94,1.06
1,1.06,-1.3470173028717525e-36,0.94,1.06
