bus,vm,va,vmin,vmax
2,1.042434212665478,-5.890607750425199,0.94,1.06
11,1.0488187022396593,-19.254219760372603,0.94,1.06
7,1.051512744597483,-16.507118065882924,0.94,1.06
9,1.054794613160487,-19.177801478743454,0.94,1.06
10,1.0462101516288287,-19.53762087067511,0.94,1.06
8,1.06,-15.351971005510244,0.94,1.06
6,1.06,-18.527250566671267,0.94,1.06
4,1.0169845396989505,-12.754463872360201,0.94,1.06
3,1.0212804643573246,-14.53264097732499,0.94,1.06
5,1.017092517337544,-10.96376541452823,0.94,1.06
13,1.0377438333185214,-19.971204232065254,0.94,1.06
14,1.0254758420385388,-21.10724374797957,0.94,1.06
12,1.042623266688591,-19.838546593270593,0.94,1.06
1,1.06,7.788956205263646e-29,0.94,1.06
