bus,vm,va,vmin,vmax
11,1.0488916338894108,-0.7838979517967053,0.94,1.06
7,1.0528477958150615,1.1828650943204502,0.94,1.06
9,1.0511073752072038,-1.2062842513034386,0.94,1.06
10,1.045116827780797,-1.2863339013328905,0.94,1.06
8,1.0486478856259043,6.99253007226179,0.94,1.06
6,1.06,1.6897553864437874e-31,0.94,1.06
4,1.0465838133073717,-1.1052276814624389,0.94,1.06
5,1.0073128491749757,3.2699625204996754,0.94,1.06
13,1.0408840570635032,-1.0215205166029226,0.94,1.06
14,1.0285164202375832,-2.1414777972449968,0.94,1.06
12,1.0455018829639247,-0.900133962091015,0.94,1.06
