bus,vm,va,vmin,vmax
11,1.0440565966819935,-1.2245179815095473,0.94,1.06
7,1.0495257291313118,0.9070941228650504,0.94,1.06
9,1.0439872728035513,-2.1339168830448583,0.94,1.06
10,1.0374861878500874,-2.1103103999223833,0.94,1.06
8,1.0522294206965936,9.95662452620317,0.94,1.06
6,1.06,-2.3142198072517175e-31,0.94,1.06
4,1.0553094005720565,-3.9412428878615273,0.94,1.06
5,1.015197886914464,4.632951430746768,0.94,1.06
13,1.0359361840998043,-1.3249005278056405,0.94,1.06
14,1.018384955437502,-3.02009945910659,0.94,1.06
12,1.0421765204795745,-1.1345038234938125,0.94,1.06
