branch,from_bus,to_bus,X,B,G,Bfr,Bto,p_from,p_to,q_from,q_to,p_loss,q_loss,s_from,s_to,rate_a,ang_deg,angmin,angmax
2,4,9,0.55618,-1.7979790715236075,0.0,0.0,0.0,-0.056733811981649195,0.056733811981649195,0.09754151089598537,-0.09159026057374504,0.0,0.005951250322240323,0.11284091354575589,0.10773811421189643,Inf,-1.5914488963256823,-60.0001403060998,60.0001403060998
11,10,11,0.19207,-4.402943749460521,1.8808847537003996,0.0,0.0,-0.09951165555705756,0.10027133614556086,0.002838928669581629,-0.0010606002035996234,0.0007596805885033003,0.0017783284659820056,0.09955214265749099,0.1002769451330062,Inf,-1.028113240924232,-60.0001403060998,60.0001403060998
7,7,8,0.17615,-5.676979846721544,0.0,0.0,0.0,-1.0000000099661517,1.0000000099661517,0.047176901094825606,0.1131028841457841,0.0,0.1602797852406097,1.0011122214463344,1.0063758156545686,Inf,-9.15393000039697,-60.0001403060998,60.0001403060998
9,9,10,0.0845,-10.365394127060915,3.902049552447428,0.0,0.0,0.017679345082789844,-0.017488344442942436,0.07874630226490034,-0.07823892866958161,0.0001910006398474079,0.0005073735953187303,0.08070650136730878,0.08016964606831488,Inf,-0.05375675607112496,-60.0001403060998,60.0001403060998
10,9,14,0.27038,-3.0290504569306034,1.4240054870199312,0.0,0.0,0.09173185001745622,-0.09027452852474446,0.0634226838223278,-0.06032276575766442,0.0014573214927117578,0.003099918064663379,0.1115220567011389,0.10857406029535302,Inf,0.9082509022084131,-60.0001403060998,60.0001403060998
8,7,9,0.11001,-9.09008271975275,0.0,0.0,0.0,0.5496450070818952,-0.5496450070818952,0.09127420416356247,-0.06026852301974055,0.0,0.03100568114382192,0.5571719789757453,0.5529393535253552,Inf,3.171035937107329,-60.0001403060998,60.0001403060998
6,6,13,0.13027,-6.102755448193116,3.0989274038379877,0.0,0.0,0.2580748109293451,-0.25371515975122433,0.08630673908013961,-0.07772122496110957,0.00435965117812076,0.008585514119030038,0.27212398138874955,0.2653525411543004,Inf,1.4597033993119353,-60.0001403060998,60.0001403060998
4,6,11,0.1989,-4.0940743442404415,1.9550285631772604,0.0,0.0,0.14767332670884192,-0.14577133614556084,0.026322405934920676,-0.022339399796400376,0.0019019905632810807,0.0039830061385203,0.1500009349152835,0.14747315425163154,Inf,1.3939163221019328,-60.0001403060998,60.0001403060998
3,5,6,0.25202,-3.967939052456154,0.0,0.0,0.0,0.1801477914287634,-0.1801477914287634,0.1365368906983417,-0.12571299868573385,0.0,0.01082389201260786,0.22604324647781926,0.21967472498041407,Inf,2.250479565976809,-60.0001403060998,60.0001403060998
5,6,12,0.25581,-3.1759639650294003,1.525967440450974,0.0,0.0,0.10781890175639977,-0.10645027575582319,0.0297755320375386,-0.026927039504730656,0.0013686260005765782,0.0028484925328079447,0.11185480715675421,0.10980312684518655,Inf,1.2427170519556276,-60.0001403060998,60.0001403060998
13,13,14,0.34802,-2.314963475105352,1.1369941578063267,0.0,0.0,0.10520737460424641,-0.10342547147525555,0.008305256982354105,-0.00467723424233559,0.001781903128990861,0.003628022740018515,0.10553468133585837,0.10353117728508923,Inf,1.9243338219937678,-60.0001403060998,60.0001403060998
12,12,13,0.19988,-2.251974626172212,2.4890245868219187,0.0,0.0,0.02715027575582319,-0.026992214853022122,0.006127039504730658,-0.005984032021244526,0.00015806090280106808,0.0001430074834861319,0.027833039480261057,0.027647573164800338,Inf,0.21698634735630767,-60.0001403060998,60.0001403060998
1,4,7,0.20912,-4.781943381790359,0.0,0.0,0.0,-0.4503550028842565,0.4503550028842565,0.18059709976454094,-0.13845110525838808,0.0,0.04214599450615286,0.4852163858179588,0.4711563829241284,Inf,-4.762484833433012,-60.0001403060998,60.0001403060998
