bus,vm,va,vmin,vmax
11,1.0044871045216723,-5.655852751268918,0.94,1.06
7,1.002727551896723,-11.504842833531255,0.94,1.06
9,0.9783512323643405,-13.0683116279236,0.94,1.06
10,0.9748539125707274,-11.133927094717468,0.94,1.06
8,1.0222469430949461,-1.6095735307045491,0.94,1.06
6,1.06,-5.506551362402772e-19,0.94,1.06
4,1.0332479743304397,-20.0953031545205,0.94,1.06
5,1.027494402015129,4.898054050549626,0.94,1.06
13,1.0151963292000805,-3.0164530905592124,0.94,1.06
14,0.9605797409342458,-10.315213205354667,0.94,1.06
12,1.0325544413990733,-2.146339294914348,0.94,1.06
