subnet,f,fmin,fmax,min_v,max_v,avg_v,ngen_Qll,ngen_Qul,ngen,minQloss,maxQloss,n_negQloss,n_s_bound,max_ang_diff,min_ang_diff,nbranch,total_loss,cost,time_s,status,network
2,1.0,1.0,1.0,1.0459184815131,1.06,1.0526524775974462,1,0,3,-0.0009887166997606656,2.5537908043407782e-5,6,0,0.042053420081196155,-0.006166762028736298,7,0.14993873215984296,18434.870104437367,0.53158921,LOCALLY_INFEASIBLE,1
1,60.0,60.0,60.0,0.9899133056968642,1.06,1.0309788227990166,0,0,2,0.00031535876108100547,0.16348298194329566,0,0,3.465974199924437,-9.203541298874626,13,0.18114262789987,18434.870104437367,0.53158921,LOCALLY_INFEASIBLE,1
2,2.0,2.0,2.0,1.0459236072787654,1.06,1.0526609237384272,1,0,3,-0.00197748609393824,5.1075022906510274e-5,6,0,0.08410308000003687,-0.012356139877858703,7,0.25692111642743204,18424.852861348274,0.552471133,LOCALLY_INFEASIBLE,2
1,60.0,60.0,60.0,0.9899435158106352,1.06,1.0294364206365183,0,0,2,0.00031502480072372226,0.16348383817503614,0,0,3.464673538466438,-9.203560629924828,13,0.1811377242396888,18424.852861348274,0.552471133,LOCALLY_INFEASIBLE,2
2,3.0,3.0,3.0,1.0459115943190638,1.06,1.0526547661392478,1,0,3,-0.002966209805307334,7.661356643324374e-5,6,0,0.12615883690691768,-0.018588710665000265,7,0.2330668802287099,18414.172833685203,0.394622597,LOCALLY_INFEASIBLE,3
1,60.0,60.0,60.0,0.9899874779919556,1.06,1.0294973914084335,0,0,2,0.0003144979404931872,0.16348428031145787,0,0,3.463151203475888,-9.203570619658075,13,0.18246136207319202,18414.172833685203,0.394622597,LOCALLY_INFEASIBLE,3
2,4.0,4.0,4.0,1.0458581386860955,1.06,1.0526092491491592,1,0,3,-0.003954571128047592,0.00010216052083195353,6,0,0.1682153137084598,-0.024887037535403837,7,0.2061952785857696,18392.246671839766,0.274743417,LOCALLY_INFEASIBLE,4
1,60.0,60.0,60.0,0.9900537531800577,1.06,1.0303819641376217,0,0,2,0.00031377031449794125,0.16348625505065817,0,0,3.4602578986817845,-9.203615236748194,13,0.18303147922488788,18392.246671839766,0.274743417,LOCALLY_INFEASIBLE,4
2,5.0,5.0,5.0,1.0457938033229994,1.06,1.0525551402097768,1,0,3,-0.004942493322746503,0.00012771430612246604,6,0,0.21029234851709125,-0.03126265313753082,7,0.21945609754847142,18367.413116175594,0.393845973,LOCALLY_INFEASIBLE,5
1,60.0,60.0,60.0,0.9901304226989802,1.06,1.0294541042071677,0,0,2,0.0003129317998215586,0.1634886003077778,0,0,3.4568856045091567,-9.203668209514495,13,0.18389707285597653,18367.413116175594,0.393845973,LOCALLY_INFEASIBLE,5
