branch,from_bus,to_bus,X,B,G,Bfr,Bto,p_from,p_to,q_from,q_to,p_loss,q_loss,s_from,s_to,rate_a,ang_deg,angmin,angmax
2,4,9,0.55618,-1.7979790715236075,0.0,0.0,0.0,0.0523041951773038,-0.0523041951773038,0.14595257268609166,-0.1347801492504375,0.0,0.011172423435654166,0.15504155025938807,0.1445732252705033,Inf,1.4938939881856843,-60.0001403060998,60.0001403060998
11,10,11,0.19207,-4.402943749460521,1.8808847537003996,0.0,0.0,-0.13781153387490389,0.13938774009374327,-0.025484012926278214,0.029173737831245643,0.0015762062188393877,0.0036897249049674292,0.14014797102983867,0.14240803722924905,Inf,-1.34456739552452,-60.0001403060998,60.0001403060998
7,7,8,0.17615,-5.676979846721544,0.0,0.0,0.0,-1.0000000099989168,1.0000000099989168,-0.028381258900562936,0.19086529884354297,0.0,0.16248403994298005,1.0004026768529832,1.0180518563906598,Inf,-9.180120012189397,-60.0001403060998,60.0001403060998
9,9,10,0.0845,-10.365394127060915,3.902049552447428,0.0,0.0,0.0424987439734658,-0.04218846612509613,0.09134020833078552,-0.09051598707372177,0.0003102778483696708,0.0008242212570637453,0.10074312332478826,0.09986496177297897,Inf,0.03808548788295066,-60.0001403060998,60.0001403060998
10,9,14,0.27038,-3.0290504569306034,1.4240054870199312,0.0,0.0,0.1513686827601809,-0.14775982827303788,0.08141915188214477,-0.07374263487928334,0.003608854487143015,0.007676517002861427,0.17187657319646574,0.16513916267868425,Inf,1.7527524215447539,-60.0001403060998,60.0001403060998
8,7,9,0.11001,-9.09008271975275,0.0,0.0,0.0,0.731563231556343,-0.731563231556343,0.232005440117419,-0.1722834664167388,0.0,0.05972197370068019,0.7674707069388621,0.7515759140404428,Inf,4.344003269800842,-60.0001403060998,60.0001403060998
6,6,13,0.13027,-6.102755448193116,3.0989274038379877,0.0,0.0,0.3941196176965355,-0.3835116148912397,0.15764971780378023,-0.13675924878721377,0.01060800280529578,0.020890469016566465,0.42448051377757595,0.40716612197643554,Inf,2.1755411805371905,-60.0001403060998,60.0001403060998
4,6,11,0.1989,-4.0940743442404415,1.9550285631772604,0.0,0.0,0.21371447208083408,-0.20938774009374328,0.07423445579536869,-0.06517373783124565,0.004326731987090798,0.009060717964123041,0.2262402042167222,0.2192962421120365,Inf,1.865642666892467,-60.0001403060998,60.0001403060998
3,5,6,0.25202,-3.967939052456154,0.0,0.0,0.0,-0.001552659509034084,0.001552659509034084,0.2705371652519038,-0.25585387877304505,0.0,0.014683286478858748,0.27054162070573706,0.2558585899178744,Inf,-0.01887070173774767,-60.0001403060998,60.0001403060998
5,6,12,0.25581,-3.1759639650294003,1.525967440450974,0.0,0.0,0.16661326071231072,-0.1632664026020855,0.05325243583423538,-0.04628669038491006,0.003346858110225226,0.006965745449325322,0.1749165531545479,0.16970084244167674,Inf,1.8965158250893615,-60.0001403060998,60.0001403060998
13,13,14,0.34802,-2.314963475105352,1.1369941578063267,0.0,0.0,0.15437965942128065,-0.1502401717269621,0.034685519964083485,-0.02625736512071666,0.004139487694318544,0.008428154843366824,0.1582282039909745,0.1525174036745633,Inf,2.7493358155416,-60.0001403060998,60.0001403060998
12,12,13,0.19988,-2.251974626172212,2.4890245868219187,0.0,0.0,0.041266402602085514,-0.04086804453004096,0.014286690384910058,-0.013926271176869707,0.0003983580720445523,0.0003604192080403513,0.04366950315576869,0.04317566551428157,Inf,0.2790253554478292,-60.0001403060998,60.0001403060998
1,4,7,0.20912,-4.781943381790359,0.0,0.0,0.0,-0.26843677844257385,0.26843677844257385,0.22550434530702282,-0.20362418121685608,0.0,0.021880164090166743,0.3505859577521274,0.3369289408716065,Inf,-2.8501092816151568,-60.0001403060998,60.0001403060998
