bus,vm,va,vmin,vmax
11,1.0274655637120262,-1.865642666892467,0.94,1.06
7,1.0416236082528496,1.1718786952668048,0.94,1.06
9,1.0200509392485568,-3.172124574534036,0.94,1.06
10,1.0111593197893924,-3.210210062416987,0.94,1.06
8,1.06,10.351998707456204,0.94,1.06
6,1.06,-3.938016396552967e-31,0.94,1.06
4,1.06,-1.6782305863483522,0.94,1.06
5,1.0446140607676362,-0.01887070173774767,0.94,1.06
13,1.0167630305657542,-2.1755411805371905,0.94,1.06
14,0.9800658394821624,-4.92487699607879,0.94,1.06
12,1.0283926337458154,-1.8965158250893615,0.94,1.06
