branch,from_bus,to_bus,X,B,G,Bfr,Bto,p_from,p_to,q_from,q_to,p_loss,q_loss,s_from,s_to,rate_a,ang_deg,angmin,angmax
2,4,9,0.55618,-1.7979790715236075,0.0,0.0,0.0,0.11010430784170262,-0.11010430784170262,0.04888416616014479,-0.04191311764928102,0.0,0.006971048510863775,0.1204683373607898,0.11781200293850745,Inf,3.1000915261316715,-60.0001403060998,60.0001403060998
11,10,11,0.19207,-4.402943749460521,1.8808847537003996,0.0,0.0,-0.04388516605731017,0.0440296139427037,0.0009214189615263952,-0.0005832823942195405,0.0001444478853935352,0.00033813656730685465,0.04389483811087983,0.044033477290522205,Inf,-0.4438317616364454,-60.0001403060998,60.0001403060998
7,7,8,0.17615,-5.676979846721544,0.0,0.0,0.0,-0.20324981595254207,0.20324981595254207,0.024380056237006426,-0.01774781850902966,0.0,0.006632237727976765,0.2047068021020841,0.20402321619504896,Inf,-1.8495941662300237,-60.0001403060998,60.0001403060998
9,9,10,0.0845,-10.365394127060915,3.902049552447428,0.0,0.0,0.046277548508017366,-0.04611483394268983,0.059353653503185826,-0.058921418961526396,0.0001627145653275361,0.0004322345416594292,0.07526265793930044,0.07482186526678937,Inf,0.10525613822820257,-60.0001403060998,60.0001403060998
10,9,14,0.27038,-3.0290504569306034,1.4240054870199312,0.0,0.0,0.09122421666916238,-0.09001293375650185,0.04723143880538897,-0.04465487776436096,0.0012112829126605246,0.0025765610410280124,0.10272617250987932,0.10048077603005666,Inf,0.9871772578419583,-60.0001403060998,60.0001403060998
8,7,9,0.11001,-9.09008271975275,0.0,0.0,0.0,0.3223974573354771,-0.3223974573354771,0.03063644224126705,-0.02026993632622132,0.0,0.010366505915045732,0.3238498295345904,0.3230340397157083,Inf,1.8307480553889917,-60.0001403060998,60.0001403060998
6,6,13,0.13027,-6.102755448193116,3.0989274038379877,0.0,0.0,0.1803178258421955,-0.17816583258152463,0.06354889787578041,-0.05931095135926317,0.0021519932606708647,0.004237946516517245,0.19118833839353988,0.18777873375494028,Inf,1.0013724597322768,-60.0001403060998,60.0001403060998
4,6,11,0.1989,-4.0940743442404415,1.9550285631772604,0.0,0.0,0.07959438866117381,-0.0790296139427037,0.018599426507692394,-0.017416717605780462,0.0005647747184701069,0.0011827089019119316,0.08173864063440892,0.08092602753189045,Inf,0.7244254202974206,-60.0001403060998,60.0001403060998
3,5,6,0.25202,-3.967939052456154,0.0,0.0,0.0,0.45008472087450796,-0.45008472087450796,0.1229667410324201,-0.07622625116365093,0.0,0.046740489868769164,0.46658019178359683,0.45649391817542073,Inf,5.66836150601443,-60.0001403060998,60.0001403060998
5,6,12,0.25581,-3.1759639650294003,1.525967440450974,0.0,0.0,0.07817249644256796,-0.0774474078481832,0.02275007454825378,-0.021240962894770624,0.0007250885943847624,0.001509111653483157,0.08141563174240193,0.08030740617838339,Inf,0.8892760861752161,-60.0001403060998,60.0001403060998
13,13,14,0.34802,-2.314963475105352,1.1369941578063267,0.0,0.0,0.059553023033368055,-0.058987066243498136,0.006497431847822365,-0.005345122235639049,0.0005659567898699189,0.001152309612183316,0.059906420131985536,0.05922874568761997,Inf,1.048805841815345,-60.0001403060998,60.0001403060998
12,12,13,0.19988,-2.251974626172212,2.4890245868219187,0.0,0.0,0.0164474078481832,-0.016387190451843447,0.005240962894770625,-0.0051864804885591856,6.021739633975398e-5,5.448240621143928e-5,0.017262239628415568,0.01718835625541879,Inf,0.11209637355706072,-60.0001403060998,60.0001403060998
1,4,7,0.20912,-4.781943381790359,0.0,0.0,0.0,0.11914764138293504,-0.11914764138293504,0.05825255907144104,-0.05501649847827348,0.0,0.0032360605931675626,0.13262549183881742,0.13123633472452043,Inf,1.2693434707426798,-60.0001403060998,60.0001403060998
