branch,from_bus,to_bus,X,B,G,Bfr,Bto,p_from,p_to,q_from,q_to,p_loss,q_loss,s_from,s_to,rate_a,ang_deg,angmin,angmax
2,4,9,0.55618,-1.7979790715236075,0.0,0.0,0.0,0.13029843234094318,-0.13029843234094318,0.08993714077226782,-0.07828669234317158,0.0,0.011650448429096238,0.15832362666638883,0.15200818289994045,Inf,3.616430928770151,-60.0001403060998,60.0001403060998
11,10,11,0.19207,-4.402943749460521,1.8808847537003996,0.0,0.0,-0.03133981792978472,0.03142159098185885,-0.009953114484326458,0.010144536179777,8.177305207412999e-5,0.00019142169545054155,0.03288234595965083,0.03301860072949849,Inf,-0.27363420955102546,-60.0001403060998,60.0001403060998
7,7,8,0.17615,-5.676979846721544,0.0,0.0,0.0,-0.46405832599117425,0.46405832599117425,0.015820644569434522,0.01799115782905116,0.0,0.033811802398485684,0.4643279258415579,0.46440694620317724,Inf,-4.172765665817691,-60.0001403060998,60.0001403060998
9,9,10,0.0845,-10.365394127060915,3.902049552447428,0.0,0.0,0.09507174263476685,-0.09466018207021527,0.07234015391255395,-0.07124688551567354,0.0004115605645515774,0.0010932683968804119,0.1194643633712721,0.11847644814582263,Inf,0.30023578681485236,-60.0001403060998,60.0001403060998
10,9,14,0.27038,-3.0290504569306034,1.4240054870199312,0.0,0.0,0.14763160218887147,-0.1446969688091837,0.06059774225705499,-0.05435538388084617,0.0029346333796877733,0.0062423583762088244,0.15958438623971227,0.15456946832864513,Inf,1.727801542516676,-60.0001403060998,60.0001403060998
8,7,9,0.11001,-9.09008271975275,0.0,0.0,0.0,0.5254049124826952,-0.5254049124826952,0.10559513119432204,-0.07746617248256733,0.0,0.028128958711754706,0.5359110502619764,0.5310850496295743,Inf,2.9765212894816697,-60.0001403060998,60.0001403060998
6,6,13,0.13027,-6.102755448193116,3.0989274038379877,0.0,0.0,0.2380742184468175,-0.2341886258612188,0.09653983434758287,-0.088887889583774,0.0038855925855987017,0.007651944763808871,0.2569032368517799,0.25049025808885883,Inf,1.2881076407564376,-60.0001403060998,60.0001403060998
4,6,11,0.1989,-4.0940743442404415,1.9550285631772604,0.0,0.0,0.08109161066266109,-0.08042159098185886,0.03674764119674462,-0.035344536179777,0.000670019680802228,0.0014031050169676165,0.08902942464932194,0.08784570868185292,Inf,0.653191015894163,-60.0001403060998,60.0001403060998
3,5,6,0.25202,-3.967939052456154,0.0,0.0,0.0,0.38752419151752826,-0.38752419151752826,0.1846302929577807,-0.14615522215174842,0.0,0.03847507080603227,0.4292590640731886,0.4141694676983576,Inf,4.810760459035657,-60.0001403060998,60.0001403060998
5,6,12,0.25581,-3.1759639650294003,1.525967440450974,0.0,0.0,0.10629372744371679,-0.10492573642412811,0.03474674971889736,-0.03189957875867395,0.0013679910195886769,0.0028471709602234108,0.1118288563381869,0.10966764923680296,Inf,1.1918933523846307,-60.0001403060998,60.0001403060998
13,13,14,0.34802,-2.314963475105352,1.1369941578063267,0.0,0.0,0.0646179677629535,-0.06390303119081629,0.017100254250758465,-0.015644616119153836,0.000714936572137212,0.0014556381316046287,0.06684235523419774,0.06579020754557724,Inf,1.0662833403905745,-60.0001403060998,60.0001403060998
12,12,13,0.19988,-2.251974626172212,2.4890245868219187,0.0,0.0,0.019525736424128127,-0.019429341901734665,0.009499578758673943,-0.009412364666984453,9.639452239346147e-5,8.721409168948972e-5,0.021713967382695706,0.021589162451535717,Inf,0.09621428837180689,-60.0001403060998,60.0001403060998
1,4,7,0.20912,-4.781943381790359,0.0,0.0,0.0,0.06134658649152086,-0.06134658649152086,0.1248610618151808,-0.12141577576375655,0.0,0.0034452860514242456,0.1391175345949462,0.1360337982946755,Inf,0.6399096392884813,-60.0001403060998,60.0001403060998
