bus,vm,va,vmin,vmax
11,1.045906479731274,-0.653191015894163,0.94,1.06
7,1.0598196480315214,2.3499318508513336,0.94,1.06
9,1.0502757315753626,-0.6265894386303361,0.94,1.06
10,1.0415904353341636,-0.9268252254451884,0.94,1.06
8,1.06,6.522697516669025,0.94,1.06
6,1.06,-3.3090417369884755e-33,0.94,1.06
4,1.06,2.9898414901398147,0.94,1.06
5,1.0239132815540843,4.810760459035657,0.94,1.06
13,1.0335396294137627,-1.2881076407564376,0.94,1.06
14,1.0172709577253418,-2.354390981147012,0.94,1.06
12,1.0395144254527726,-1.1918933523846307,0.94,1.06
