subnet,f,fmin,fmax,min_v,max_v,avg_v,ngen_Qll,ngen_Qul,ngen,minQloss,maxQloss,n_negQloss,n_s_bound,max_ang_diff,min_ang_diff,nbranch,total_loss,cost,time_s,status,network
2,1.0,1.0,1.0,1.010390505338674,1.06,1.0290480293014999,1,0,3,-0.0003717071551979489,0.0009740230651228698,3,0,0.12843163694332693,-0.022312043398777185,7,0.08577814823905548,8071.785884963608,0.040187954,LOCALLY_SOLVED,1
1,60.0,60.0,60.0,1.009186122879163,1.06,1.0454565564793992,0,0,2,4.440413055538904e-5,0.04209357918088928,0,0,5.373396565302666,-0.8036425760208746,13,0.005209436498346268,8071.785884963608,0.040187954,LOCALLY_SOLVED,1
2,2.0,2.0,2.0,1.0103868231331259,1.06,1.0290455752394205,1,0,3,-0.0007405598658440666,0.0019376890085839316,3,0,0.25680460923349535,-0.04459027858278739,7,0.08578940142139403,8071.854110886796,0.038998904,LOCALLY_SOLVED,2
1,60.0,60.0,60.0,1.0091859030681647,1.06,1.045457091994703,0,0,2,4.4400794979922165e-5,0.04209197661764838,0,0,5.373292373576955,-0.8035748603555031,13,0.005209326246399788,8071.854110886796,0.038998904,LOCALLY_SOLVED,2
2,3.0,3.0,3.0,1.0103810078885926,1.06,1.0290416927040322,1,0,3,-0.001103889145997898,0.0028813713189684894,3,0,0.38506434045424914,-0.06680210831176014,7,0.08580766422005662,8071.964908086225,0.039156545,LOCALLY_SOLVED,3
1,60.0,60.0,60.0,1.009185610589436,1.06,1.045458342335644,0,0,2,4.4395398913007686e-5,0.042089393840269024,0,0,5.373123477931387,-0.8034498734686453,13,0.005209147916912514,8071.964908086225,0.039156545,LOCALLY_SOLVED,3
2,4.0,4.0,4.0,1.0103735122791622,1.06,1.029036671709505,1,0,3,-0.0014593719097775043,0.003796798728036479,3,0,0.5131638339891159,-0.0889173143434245,7,0.08583224853863589,8072.114198721962,0.040734815,LOCALLY_SOLVED,4
1,60.0,60.0,60.0,1.009185187959579,1.06,1.0454595200330874,0,0,2,4.438816908569447e-5,0.042085928428786265,0,0,5.3728973301702405,-0.8032759273939094,13,0.005208909031242935,8072.114198721962,0.040734815,LOCALLY_SOLVED,4
2,5.0,5.0,5.0,1.0103649149817104,1.06,1.0290308794094678,1,0,3,-0.001805147060897707,0.004677493509456523,3,0,0.6410661066791535,-0.1109091245593542,7,0.08586228303399895,8072.296803740676,0.044213209,LOCALLY_SOLVED,5
1,60.0,60.0,60.0,1.0091846459273333,1.06,1.0454605721191705,0,0,2,4.4379388865155994e-5,0.04208171522164923,0,0,5.372622812734065,-0.8030467465155922,13,0.005208618991779539,8072.296803740676,0.044213209,LOCALLY_SOLVED,5
2,6.0,6.0,6.0,1.0103558762212363,1.06,1.0290247294452093,1,0,3,-0.0021398773463958305,0.005518985190147801,3,0,0.7687454396526906,-0.13275510470624835,7,0.08589678594660843,8072.5068652192895,0.04055534,LOCALLY_SOLVED,6
1,60.0,60.0,60.0,1.0091840989166927,1.06,1.0454624046847263,0,0,2,4.436937345035554e-5,0.04207691978712537,0,0,5.372309242191316,-0.802738695171494,13,0.005208288233138082,8072.5068652192895,0.04055534,LOCALLY_SOLVED,6
2,7.0,7.0,7.0,1.0103470925579319,1.06,1.0290186515656283,1,0,3,-0.0024627573350298054,0.006318806150081523,3,0,0.8961873747182082,-0.1544377952894674,7,0.085934737228861,8072.738267505696,0.040807911,LOCALLY_SOLVED,7
1,60.0,60.0,60.0,1.0091834594173736,1.06,1.0454641905101394,0,0,2,4.435844250943663e-5,0.04207167904494084,0,0,5.371967187403036,-0.8023633885790123,13,0.005207927357236622,8072.738267505696,0.040807911,LOCALLY_SOLVED,7
2,8.0,8.0,8.0,1.0103392559209667,1.06,1.0290130650493197,1,0,3,-0.0027734761962085568,0.007076310545956102,3,0,1.0233877246078351,-0.17594503451570823,7,0.08597514148566518,8072.98500887907,0.04001117,LOCALLY_SOLVED,8
1,60.0,60.0,60.0,1.0091827841940044,1.06,1.0454661286248197,0,0,2,4.434690148296793e-5,0.042066145275076475,0,0,5.371605982343433,-0.8019157995204687,13,0.005207546468017634,8072.98500887907,0.04001117,LOCALLY_SOLVED,8
2,9.0,9.0,9.0,1.010333020482566,1.06,1.0290083582546141,1,0,3,-0.0030721487799601765,0.00779237647056473,3,0,1.1503509364644902,-0.1972699445097994,7,0.08601707662696323,8073.241492898772,0.041822593,LOCALLY_SOLVED,9
1,60.0,60.0,60.0,1.0091820892183847,1.06,1.045468025149146,0,0,2,4.43350251400727e-5,0.04206045014288483,0,0,5.371234219606083,-0.80140150928075,13,0.005207154649729524,8073.241492898772,0.041822593,LOCALLY_SOLVED,9
2,10.0,10.0,10.0,1.0103289788036411,1.06,1.0290048749419765,1,0,3,-0.0033592296101562294,0.008469053287256875,3,0,1.2770881328177233,-0.2184106049479539,7,0.08605972636833492,8073.502727743786,0.042752857,LOCALLY_SOLVED,10
1,60.0,60.0,60.0,1.0091813885001661,1.06,1.0454700177664942,0,0,2,4.4323048622515494e-5,0.04205470641560036,0,0,5.370859254961299,-0.8008225696914695,13,0.005206759667828525,8073.502727743786,0.042752857,LOCALLY_SOLVED,10
2,11.0,11.0,11.0,1.0103276473054688,1.06,1.0290029070353697,1,0,3,-0.003635422693732994,0.009109206190277608,3,0,1.4036151267612522,-0.23936947657980562,7,0.08610239746884447,8073.764437112743,0.042916985,LOCALLY_SOLVED,11
1,60.0,60.0,60.0,1.009180693004134,1.06,1.0454719780171962,0,0,2,4.431116372568579e-5,0.04204900603473942,0,0,5.3704870944929315,-0.8001884428537135,13,0.00520636784791788,8073.764437112743,0.042916985,LOCALLY_SOLVED,11
2,12.0,12.0,12.0,1.0103294599505026,1.06,1.029002692728664,1,0,3,-0.0039015967704926005,0.00971619440628669,3,0,1.5299506150220277,-0.26015266022612915,7,0.08614452427383255,8074.023096327464,0.041233705,LOCALLY_SOLVED,12
1,60.0,60.0,60.0,1.009180002185606,1.06,1.0454741933591414,0,0,2,4.429951942865572e-5,0.04204341904733534,0,0,5.370122455329073,-0.7995021550824581,13,0.0052059840956768175,8074.023096327464,0.041233705,LOCALLY_SOLVED,12
2,13.0,13.0,13.0,1.0103347684266746,1.06,1.0290044185476908,1,0,3,-0.0041587119708067985,0.010293603327247158,3,0,1.6561146649221112,-0.28076908124408967,7,0.08618566385357608,8074.275911875103,0.038862214,LOCALLY_SOLVED,13
1,60.0,60.0,60.0,1.0091793513643719,1.06,1.0454757356037527,0,0,2,4.428822531019755e-5,0.04203800252177847,0,0,5.369768619787277,-0.798790968072658,13,0.005205612012284096,8074.275911875103,0.038862214,LOCALLY_SOLVED,13
2,14.0,14.0,14.0,1.0103438469677977,1.06,1.0290082239893645,1,0,3,-0.004407760615900008,0.010845037527694557,3,0,1.7821275372108172,-0.30122967877857354,7,0.08622548500755782,8074.520762973941,0.039464627,LOCALLY_SOLVED,14
1,60.0,60.0,60.0,1.0091786843725434,1.06,1.0454780433390904,0,0,2,4.427735661467584e-5,0.042032783253513464,0,0,5.369428274148319,-0.7980367535365342,13,0.005205254063766689,8074.520762973941,0.039464627,LOCALLY_SOLVED,14
2,15.0,15.0,15.0,1.0103569000799995,1.06,1.0290142075571538,1,0,3,-0.004649722473713258,0.011373972349803918,3,0,1.908008834726811,-0.32154665957825884,7,0.08626375393956723,8074.7561214556235,0.040493196,LOCALLY_SOLVED,15
1,60.0,60.0,60.0,1.0091780963883183,1.06,1.0454797457149765,0,0,2,4.426695997751442e-5,0.04202779795450265,0,0,5.369102392870815,-0.7972751860099473,13,0.005204911771643899,8074.7561214556235,0.040493196,LOCALLY_SOLVED,15
2,16.0,16.0,16.0,1.0103740717439367,1.06,1.0290224332882925,1,0,3,-0.004885533235526318,0.011883656414701682,3,0,2.033776936460483,-0.3417328539914325,7,0.08630031875330924,8074.980962732997,0.044000986,LOCALLY_SOLVED,16
1,60.0,60.0,60.0,1.0091775307792692,1.06,1.045480716658066,0,0,2,4.4257059116002695e-5,0.04202304910332434,0,0,5.368792035575313,-0.796517053852036,13,0.005204585901758095,8074.980962732997,0.044000986,LOCALLY_SOLVED,16
2,17.0,17.0,17.0,1.0103954550169185,1.06,1.0290329371472091,1,0,3,-0.005116064177298048,0.01237705520001564,3,0,2.1594486634185657,-0.36180119154739787,7,0.08633509425920535,8075.194676938198,0.043869453,LOCALLY_SOLVED,17
1,60.0,60.0,60.0,1.0091769786051494,1.06,1.045482613901223,0,0,2,4.4247660035991e-5,0.04201853820724581,0,0,5.3684974468817765,-0.7957381884421236,13,0.005204276637168591,8075.194676938198,0.043869453,LOCALLY_SOLVED,17
2,18.0,18.0,18.0,1.0104211012976954,1.06,1.0290457329001015,1,0,3,-0.005342110714222623,0.0128568256916134,3,0,2.2850391212513568,-0.3817642977527962,7,0.08636804801001248,8075.396986030168,0.042372617,LOCALLY_SOLVED,18
1,60.0,60.0,60.0,1.0091764618425618,1.06,1.0454839149560125,0,0,2,4.423875557103482e-5,0.04201426534244704,0,0,5.368218289103086,-0.7949742297962434,13,0.00520398372813639,8075.396986030168,0.042372617,LOCALLY_SOLVED,18
2,19.0,19.0,19.0,1.0104510288018538,1.06,1.0290608172712261,1,0,3,-0.005564387649107945,0.01332531316683453,3,0,2.410561669902242,-0.4016342030590036,7,0.08639918804086288,8075.587870069135,0.041159242,LOCALLY_SOLVED,19
1,60.0,60.0,60.0,1.0091759670380245,1.06,1.045485237187195,0,0,2,4.423032915014131e-5,0.042010220681038074,0,0,5.367954115388397,-0.7942187521944143,13,0.005203706616715776,8075.587870069135,0.041159242,LOCALLY_SOLVED,19
2,20.0,20.0,20.0,1.0104852300153644,1.06,1.0290781743125001,1,0,3,-0.0057835291926651294,0.01378456273358377,3,0,2.536027978917407,-0.42142214892819824,7,0.0864285524797137,8075.767503981358,0.040135909,LOCALLY_SOLVED,20
1,60.0,60.0,60.0,1.0091754929347838,1.06,1.045486685036106,0,0,2,4.422235783868751e-5,0.042006393275260026,0,0,5.367704211608931,-0.7934741198895344,13,0.005203444536933877,8075.767503981358,0.040135909,LOCALLY_SOLVED,20
2,21.0,21.0,21.0,1.0105236780496154,1.06,1.029097779002449,1,0,3,-0.006000092183582523,0.014236339903321175,3,0,2.661448136071395,-0.44113847351943686,7,0.08645620098970673,8075.936204868015,0.041295782,LOCALLY_SOLVED,21
1,60.0,60.0,60.0,1.0091750427921047,1.06,1.0454879388753315,0,0,2,4.421481470190652e-5,0.04200277098773485,0,0,5.367467712394214,-0.7927498190771188,13,0.005203196592852042,8075.936204868015,0.041295782,LOCALLY_SOLVED,21
