bus,vm,va,vmin,vmax
11,1.0509288794991993,-0.5722248880909119,0.94,1.06
7,1.0579363873672047,1.0505635086431584,0.94,1.06
9,1.05546120516539,-0.6971493869807431,0.94,1.06
10,1.0488459380106507,-0.8665736199064219,0.94,1.06
8,1.0528978370635007,1.8190647370495268,0.94,1.06
6,1.06,-4.3013774316455524e-32,0.94,1.06
4,1.0470380349331707,3.428809803970486,0.94,1.06
5,1.0091533418893384,5.355840415942128,0.94,1.06
13,1.04164070393357,-0.9497408150712147,0.94,1.06
14,1.031388509311675,-1.8167021287468088,0.94,1.06
12,1.0457495183606933,-0.8614391340019567,0.94,1.06
