subnet,f,fmin,fmax,min_v,max_v,avg_v,ngen_Qll,ngen_Qul,ngen,minQloss,maxQloss,n_negQloss,n_s_bound,max_ang_diff,min_ang_diff,nbranch,total_loss,cost,time_s,status,network
1,60.0,60.0,60.0,0.9,0.9267590535900356,0.9111293501661646,0,3,5,0.006713998008546884,0.20357639840136754,0,1,4.13982777173619,-5.021841965248224,7,0.07535802158759357,18269.102722018724,0.039947707,LOCALLY_SOLVED,base
2,1.014032813913209,1.0,100.0,1.0493977379378179,1.06,1.054698868968909,0,0,0,0.0066287659788710545,0.0066287659788710545,0,1,0.09783679821611799,0.09783679821611799,1,0.04001423955248029,15195.35637966162,1.495766364,LOCALLY_SOLVED,br1
1,60.0,60.0,60.0,1.0322291243347097,1.0501825976188677,1.0375036670582445,0,0,5,-0.010430095838484433,0.15138064519455782,1,2,2.5200513468698538,-3.804702918075568,6,0.05127017006165788,15195.35637966162,1.495766364,LOCALLY_SOLVED,br1
2,9.199882107222393,1.0,100.0,1.0502387922595375,1.06,1.055119396129769,0,0,0,0.04801452406012872,0.04801452406012872,0,0,0.8256758184160659,0.8256758184160659,1,0.03204677322088134,15075.257977383419,0.091372057,LOCALLY_SOLVED,br2
1,60.0,60.0,60.0,1.0843170764324896,1.1,1.0938178095700433,0,0,5,-0.012311630206422453,0.13328358924214811,1,1,2.9889803999838422,-3.3869409040546117,6,0.05637260973682201,15075.257977383419,0.091372057,LOCALLY_SOLVED,br2
2,9.074729064451486,1.0,100.0,1.057830721914943,1.06,1.0589153609574715,0,0,0,0.005871857785195271,0.005871857785195271,0,0,-0.17812675506683015,-0.17812675506683015,1,0.0073875288879752254,15054.031610515685,0.053529337,LOCALLY_SOLVED,br3
1,60.0,60.0,60.0,1.084872093784655,1.1,1.0941400035939879,0,1,5,-0.01635678764794457,0.19270649811687734,1,1,4.016868505977391,-3.3844881783143355,6,0.07395639844717612,15054.031610515685,0.053529337,LOCALLY_SOLVED,br3
2,23.665807495575034,1.0,100.0,1.0590262278291973,1.06,1.0595131139145986,0,0,0,-0.004686602189160102,-0.004686602189160102,1,0,0.20930957844441636,0.20930957844441636,1,0.0008908006637828869,15201.864811966941,0.047871604,LOCALLY_SOLVED,br4
1,60.0,60.0,60.0,1.0880919298721674,1.1,1.093417717310968,0,2,5,0.04063858625575545,0.36298457025692954,0,2,5.356641715162859,-3.425956692694034,6,0.08380326312449979,15201.864811966941,0.047871604,LOCALLY_SOLVED,br4
2,99.94980866741365,1.0,100.0,0.9400295861739867,0.9411983324440099,0.9406139593089983,0,0,0,0.24127722242509558,0.24127722242509558,0,0,-5.770190487617556,-5.770190487617556,1,0.011560399774229513,14956.024209579018,3.228624592,ITERATION_LIMIT,br7
1,60.0,60.0,60.0,1.0831005440993728,1.0999588482769358,1.0929608725745892,0,0,5,-0.017034267981414386,0.19458621201710263,1,0,4.016095262145488,-1.100458652077896,6,0.06258141585635443,14956.024209579018,3.228624592,ITERATION_LIMIT,br7
