subnet,f,fmin,fmax,min_v,max_v,avg_v,ngen_Qll,ngen_Qul,ngen,minQloss,maxQloss,n_negQloss,n_s_bound,max_ang_diff,min_ang_diff,nbranch,loss,cost,time_s,status,network
2,1.0004653288157364,1.0,100.0,1.0238037176383499,1.1,1.061901858819175,0,0,0,0.20512624554447997,0.20512624554447997,0,1,1.1333174839501685,1.1333174839501685,1,0.9719031572176853,0.0,2.028287946,LOCALLY_SOLVED,trial 1
1,50.0,50.0,50.0,0.956393281581565,1.1,1.0589975051929033,0,4,20,-3.3905247914521714,5.2540348937634755,20,0,40.00000056440217,-13.187561731552206,100,6.1550362751304,2.641487033317357e6,2.028287946,LOCALLY_SOLVED,trial 1
2,1.0004622091589288,1.0,100.0,1.0238036972866793,1.1,1.0619018486433398,0,0,0,0.20512560785861458,0.20512560785861458,0,1,1.1333102042828966,1.1333102042828966,1,0.9719031607445565,0.0,5.21342505,LOCALLY_SOLVED,trial 2
1,50.0,50.0,50.0,0.978406075947075,1.1,1.0596455893441799,0,4,20,-3.390780601040057,5.229626226686573,20,0,40.00000056438451,-13.187561729915226,100,6.166007995135277,3.0531244829419674e6,5.21342505,LOCALLY_SOLVED,trial 2
2,1.0004562225995712,1.0,100.0,1.0238036586675472,1.1,1.0619018293337736,0,0,0,0.20512438410931208,0.20512438410931208,0,1,1.1332963190480008,1.1332963190480008,1,0.9719031674322327,0.0,2.053131715,LOCALLY_SOLVED,trial 3
1,50.0,50.0,50.0,0.9884157769805,1.1,1.0599335797747222,0,4,20,-3.3918685244522253,5.190847277907109,20,0,40.00000056440134,-13.187561726702949,100,6.152075099152298,3.4570739845419624e6,2.053131715,LOCALLY_SOLVED,trial 3
2,1.0004435238458085,1.0,100.0,1.0238035860728292,1.1,1.0619017930364145,0,0,0,0.20512178736305667,0.20512178736305667,0,1,1.1332686732863404,1.1332686732863404,1,0.9719031799016928,0.0,4.362508381,LOCALLY_SOLVED,trial 4
1,50.0,50.0,50.0,0.9921998293032495,1.1,1.0608915811985846,0,4,20,-3.401328993737142,5.034150342941991,20,1,40.00000056476026,-13.187561718710935,100,5.972775025855477,3.8694447848254736e6,4.362508381,LOCALLY_SOLVED,trial 4
2,1.0004321724455196,1.0,100.0,1.0238035107989623,1.1,1.0619017553994812,0,0,0,0.20511946715422838,0.20511946715422838,0,1,1.1332419470572124,1.1332419470572124,1,0.9719031929585675,0.0,2.087831895,LOCALLY_SOLVED,trial 5
1,50.0,50.0,50.0,0.9971423895597848,1.1,1.0623090270073785,0,4,20,-3.413603536360481,4.833872994766297,21,1,40.00000056515024,-13.187561712637187,100,5.836316536877009,4.291489924891241e6,2.087831895,LOCALLY_SOLVED,trial 5
2,1.0004225683591337,1.0,100.0,1.0238030526080686,1.1,1.0619015263040343,0,0,0,0.20511754284176437,0.20511754284176437,0,1,1.1331428255051106,1.1331428255051106,1,0.9719032766165583,0.0,1.204111939,LOCALLY_SOLVED,trial 6
1,50.0,50.0,50.0,0.9967617538570099,1.1,1.0611053783913342,0,7,20,-3.4755379663286674,3.696943236270115,21,4,40.000000562108234,-14.79906433167726,100,5.513599590279339,4.784937989365713e6,1.204111939,LOCALLY_SOLVED,trial 6
2,4.5656546760259165,1.0,100.0,1.0270853340403463,1.1,1.0635426670201733,0,0,0,0.9354265976200334,0.9354265976200334,0,1,5.160723369257024,5.160723369257024,1,0.9719551823678554,0.0,6.024353209,LOCALLY_INFEASIBLE,trial 7
1,50.0,50.0,50.0,0.9858900836624815,1.1,1.059041725653433,0,9,20,-3.5465136016890892,3.0567064910754453,22,6,40.401156430824635,-16.107392039915332,100,7.910120406583911,4.9414707966754725e6,6.024353209,LOCALLY_INFEASIBLE,trial 7
2,4.269447569894186,1.0,100.0,1.026651756406133,1.1,1.0633258782030666,0,0,0,0.8748223267849807,0.8748223267849807,0,1,4.827077493478203,4.827077493478203,1,0.9719485760520854,0.0,5.459060157,LOCALLY_INFEASIBLE,trial 8
1,50.0,50.0,50.0,0.9833737086163998,1.1,1.0581783147057506,0,9,20,-3.55197342682916,2.9316839112547486,22,6,40.000000573227,-14.536998286376924,100,11.488804286931975,4.941304709902694e6,5.459060157,LOCALLY_INFEASIBLE,trial 8
2,4.39268125581863,1.0,100.0,1.026825466669116,1.1,1.063412733334558,0,0,0,0.9000395420067239,0.9000395420067239,0,1,4.965792710338266,4.965792710338266,1,0.9719518549715893,0.0,10.86479142,LOCALLY_INFEASIBLE,trial 9
1,50.0,50.0,50.0,0.9811231396687305,1.1,1.0573249227869146,0,9,20,-3.5645723071221984,2.840016222987807,22,6,39.88630953515648,-13.18756116282543,100,15.023534302843425,4.9410877787455525e6,10.86479142,LOCALLY_INFEASIBLE,trial 9
