bus,vm,va,vmin,vmax
4071,1.087982492554975,-6.9583925602330305,0.9,1.1
2032,1.0999999778260763,-29.88711222923877,0.9,1.1
4043,1.0703623401771096,-92.38280576425143,0.9,1.1
2,1.0881007348004943,-99.90183991107003,0.9,1.1
4051,1.0994727124160273,-100.07429479260756,0.9,1.1
4047,1.1,-88.69569744637029,0.9,1.1
50012,1.0419363034882219,-38.4098927028241,0.9,1.1
11,1.0400233326473725,-14.823107891159044,0.9,1.1
46,1.037985992447239,-95.46786290111515,0.9,1.1
50015,1.089871095842122,-81.90530272061875,0.9,1.1
42,1.0062162530856273,-87.65504552493124,0.9,1.1
50006,1.0992968072340408,-90.5513117499775,0.9,1.1
1044,1.051600867049167,-97.27199193958246,0.9,1.1
50018,1.0719571114421143,-82.99036896939091,0.9,1.1
50013,1.0415786816546264,-81.33711040299022,0.9,1.1
31,1.0606643319901212,-45.54822323089022,0.9,1.1
1014,1.1,-2.133720885751523,0.9,1.1
4062,1.1,-88.57118159366944,0.9,1.1
2031,1.0836271353649387,-43.074674043047835,0.9,1.1
1011,1.0999075836645433,-12.221483922285044,0.9,1.1
50016,1.0636020882704953,-93.11201651074582,0.9,1.1
50019,1.0765784491438375,-2.524377454806322,0.9,1.1
50001,1.1,-0.42592488812188106,0.9,1.1
4011,1.0560464352634389,-12.721604620881152,0.9,1.1
4,1.0468934775585113,-99.90188128912132,0.9,1.1
4045,1.1,-98.53438896913323,0.9,1.1
1013,1.094059408695626,-6.462229195232474,0.9,1.1
4022,1.0309930412703197,-25.75684750627269,0.9,1.1
13,1.034219828922473,-9.097614454173486,0.9,1.1
50003,1.0992828409278894,3.9253237915959045,0.9,1.1
1,1.0772908695058583,-112.22836494047431,0.9,1.1
47,1.0359430357605768,-91.27639533457261,0.9,1.1
32,1.0270234022355427,-32.56736453381924,0.9,1.1
4041,1.1,-81.33711040299022,0.9,1.1
1022,1.0837768458870132,-22.968839261775788,0.9,1.1
50004,1.1,12.596025894772582,0.9,1.1
50011,1.036917244619838,-44.96091850154233,0.9,1.1
50020,1.056379411291278,-2.997232101906208e-26,0.9,1.1
43,1.035369869009619,-94.95094590508998,0.9,1.1
50014,1.0563881661949421,-77.63846173922276,0.9,1.1
3,1.0715571792301524,-108.13162724507978,0.9,1.1
4044,1.0782453422187641,-94.14040843726002,0.9,1.1
61,1.040469165848913,-92.19237265139108,0.9,1.1
50010,1.0414514126763126,-1.9770384872920377,0.9,1.1
1043,1.1,-105.41143794251848,0.9,1.1
71,1.0417887072168739,-9.56329565901453,0.9,1.1
4021,1.0413346593911763,-44.96091858207489,0.9,1.1
1045,1.0608131357631014,-100.99881186326307,0.9,1.1
12,1.031080432096431,-9.85914775517366,0.9,1.1
50017,1.0278532754769876,-81.36896534158879,0.9,1.1
50008,1.0691184174293713,-22.57762357937696,0.9,1.1
4032,1.0782681859239822,-49.69211947596691,0.9,1.1
62,1.0434217715205054,-91.14977579795541,0.9,1.1
4046,1.0740643912185202,-92.90165921850875,0.9,1.1
1012,1.0980373816690012,-7.20140926213937,0.9,1.1
4042,1.052805549830735,-84.96091914779326,0.9,1.1
4063,1.0999999164453185,-87.60830629317188,0.9,1.1
50005,1.0673785912509584,-15.53716128370548,0.9,1.1
51,1.0307127677629881,-102.6996012856435,0.9,1.1
22,1.0272399464853796,-25.630463517381834,0.9,1.1
4031,1.1,-45.911154449476925,0.9,1.1
1042,1.1,-97.2832129718584,0.9,1.1
50002,1.1,-5.510224009421791,0.9,1.1
4072,1.1,-4.144180704077738,0.9,1.1
4061,1.0845364657796042,-89.61671166859838,0.9,1.1
1041,1.0892011109519437,-109.84002354735806,0.9,1.1
72,1.0369402835233235,-6.784588668091363,0.9,1.1
5,1.0473319786059623,-103.59096215725279,0.9,1.1
4012,1.0561197383587422,-9.795534455534364,0.9,1.1
50007,1.0973235693514778,-98.6673751244107,0.9,1.1
63,1.045519794983889,-90.17044081943374,0.9,1.1
50009,1.0476230194592275,-8.411915009191635,0.9,1.1
1021,1.0802995052076783,5.708757357338091,0.9,1.1
41,1.0457849577813612,-83.84423970122397,0.9,1.1
