gen,bus,pg,qg,pgmin,pgmax,qgmin,qgmax,pbase,qbase
12,50012,3.325,0.0798105252921367,0.0,3.325,-1.09287,1.09287,3.0664999999999996,1.50906
15,50015,10.8,4.324671775952267,0.0,10.8,-3.747,5.2306799999999996,10.75548,5.11038
6,50006,3.6,1.7266444279249293,0.0,3.6,-1.249,1.74356,3.60522,1.61809
18,50018,7.233122968231548,2.378801953747224,0.0,10.8,-3.747,5.2306799999999996,10.56356,3.32769
13,50013,0.0,-0.18874581147103467,0.0,0.0,-2.0,3.0,-0.00068,1.3207
16,50016,6.3,1.2014829063616432,0.0,6.3,-2.18575,3.05123,5.981509999999999,2.91966
19,50019,2.8747361565354455,1.5612498860582846,0.0,4.75,-1.56125,1.56125,2.98243,1.24309
1,50001,7.599999798110686,0.5650323693940446,0.0,7.6,-2.498,2.498,5.9422500000000005,0.67227
3,50003,5.95635643380455,0.27844637359492436,0.0,6.65,-2.18575,2.18575,5.449120000000001,0.23597
4,50004,5.7,1.209820946263071,0.0,5.7,-1.8735,1.8735,3.92999,0.3468
11,50011,2.8908417677727155e-8,0.93675,0.0,2.85,-0.93675,0.93675,2.47268,1.04877
20,50020,23.992852563393402,3.6443527024084363,0.0,42.75,-14.05125,14.05125,21.28315,3.81697
14,50014,6.29999963760119,3.05123,0.0,6.3,-2.18575,3.05123,6.271380000000001,4.58768
10,50010,7.599998753358871,2.497999968703158,0.0,7.6,-2.498,2.498,5.942340000000001,2.6905099999999997
17,50017,5.3999993097542855,-0.4728087222106418,0.0,5.4,-1.8735,2.6153399999999998,5.2793600000000005,0.88577
8,50008,8.075,1.8182880674144986,0.0,8.075,-2.65412,2.65412,7.41153,2.66551
5,50005,2.375,0.780619969237422,0.0,2.375,-0.78062,0.78062,1.97685,0.73187
2,50002,0.7998163591058127,0.2680312000550532,0.0,5.7,-1.8735,1.8735,2.95716,0.21017
7,50007,1.8,0.8332837677062738,0.0,1.8,-0.6245,0.87178,1.79337,0.90377
9,50009,5.27863032373999,3.1224999859974347,0.0,9.5,-3.1225,3.1225,6.61239,2.23433
